Date,America,France,Britain,Italy,China,Germany
2016/6/9,-3.12723987,19.76133215,12.47005257,-25.54890005,-9.206446362,5.65120156
2016/6/10,-5.319070068,21.1743376,12.19078887,-24.16038186,-10.22244209,6.33676756
2016/6/13,-2.178942282,19.9934918,12.85232187,-23.93750019,-13.92930477,7.199933566
2016/6/14,-0.140252079,19.68278617,13.86579084,-23.13714331,-19.91659385,9.645412235
2016/6/15,-2.869081855,21.39181753,14.26106427,-22.39982086,-21.57725116,11.19327208
2016/6/16,-3.016401745,21.01233694,13.66238434,-22.29942437,-19.46663343,10.10773826
2016/6/17,-0.946657607,18.92172236,13.98888597,-21.44044236,-21.05730507,10.53379671
2016/6/20,0.386656537,18.11325707,15.83707406,-22.54152771,-23.04651788,11.25105792
2016/6/21,-0.627567291,18.52763352,13.57710132,-23.00171632,-15.9797941,7.50434287
2016/6/22,-5.107870121,20.69181434,12.65429881,-21.34035461,-14.88930357,7.991415144
2016/6/23,-3.542295969,19.86991428,12.17066383,-20.78281027,-15.01385618,7.298384303
2016/6/24,-1.913581009,17.94971081,11.91548973,-21.99579569,-13.20932268,7.253498838
2016/6/27,-7.597996553,17.38559848,13.14219,-21.25463396,-10.90004788,9.224889911
2016/6/28,-11.03876901,17.62670926,13.53012898,-20.38278969,-10.06187937,10.32659983
2016/6/29,-6.669884524,13.14750685,10.68999707,-21.79761587,-3.675925734,8.305922208
2016/6/30,-9.965343111,12.42655672,10.34896478,-21.46832939,-0.149133025,8.807284023
2016/7/1,-11.51802925,12.07588064,11.1000453,-20.67521816,-0.749114563,9.766436039
2016/7/5,-2.238984219,9.693105263,6.598095085,-22.0667825,0.880034812,7.134531561
2016/7/6,-3.170097709,8.989472094,6.667752053,-21.8166349,1.417831951,7.911676507
2016/7/7,-3.823801336,8.825449616,5.720152069,-21.50116751,2.194184665,8.585182496
2016/7/8,-3.6935834,5.192061191,10.63667215,-22.25337183,0.765060454,9.353161435
2016/7/11,-1.098745344,4.997994905,10.99570054,-23.13791656,0.301547684,7.941418776
2016/7/12,-1.445647912,4.964817552,13.5936143,-25.04752483,-0.185668766,8.120409658
2016/7/13,-1.667100316,4.496574414,16.39887496,-26.61913578,-1.380110723,8.770897443
2016/7/14,-2.176450243,4.581925401,18.90374741,-27.51026606,-2.774984663,8.976028146
2016/7/15,-1.963415855,4.323223501,20.78004387,-27.27165403,-6.560717258,10.69251977
2016/7/18,-2.466358139,3.859698793,22.03029396,-27.10530375,-7.058386481,10.74005562
2016/7/19,-2.168919536,1.899516957,23.35085776,-27.39194567,-7.718394339,12.02888483
2016/7/20,-5.041420892,-0.420666003,28.18291768,-26.55788082,-9.729610902,13.56666094
2016/7/21,-9.738532129,-1.54710911,18.74607138,-27.57935162,10.22659026,9.892331223
2016/7/22,-15.07710401,-1.570673791,15.564721,-28.83330076,18.51677592,11.39958163
2016/7/25,-12.25514796,-2.230579605,17.80683085,-29.72270013,15.18443113,11.21716571
2016/7/26,-11.45630128,-4.705965644,23.86641514,-32.41474337,12.80297693,11.90761822
2016/7/27,-12.35138711,-3.080528586,23.14220875,-31.4275939,11.84958969,11.86771116
2016/7/28,-14.78548394,-2.92195389,19.31189093,-33.29016945,18.42422386,13.26149249
2016/7/29,-13.6016887,-2.328427188,21.86715904,-38.42638418,21.30680899,11.18253203
2016/8/1,-10.57900198,-3.462578581,22.61506349,-37.66606869,17.48418489,11.60840087
2016/8/2,-9.132916467,-3.406150676,22.70656231,-36.4005933,14.48547822,11.74761991
2016/8/3,-10.06810982,-3.084915843,22.87263035,-37.74959577,15.65834429,12.37164679
2016/8/4,-9.847508214,-2.205690027,23.77043673,-41.29780368,17.05198259,12.52858259
2016/8/5,-10.31220055,-1.839277158,24.32526136,-41.59951872,16.62278792,12.80294714
2016/8/8,-10.134911,-2.166851147,24.78866849,-43.15182449,17.40493385,13.2599843
2016/8/9,-7.800860885,-2.862711827,23.88657746,-40.33055981,15.49926267,11.6082924
2016/8/10,-7.357058504,-2.838563406,24.53279781,-40.30981786,14.41118666,11.5614553
2016/8/11,-7.167244631,-3.455399531,25.06689818,-41.77502004,15.09854692,12.23221911
2016/8/12,-6.625987601,-2.589528698,25.80392101,-46.35050239,18.12361434,11.63848334
2016/8/15,-6.813183979,-3.430637326,26.70091723,-45.83867105,17.50134841,11.88022672
2016/8/16,-6.776539341,-4.076770852,27.2608868,-45.62617657,17.09532427,12.12327569
2016/8/17,-6.959010052,-4.152761994,27.32740937,-45.55955559,17.18059608,12.16332219
2016/8/18,-7.427349591,-16.61099185,32.31714611,-43.32618637,18.50094364,16.54643806
2016/8/19,-6.99844377,-19.22732942,34.40527075,-42.54490861,17.17697737,17.18843368
2016/8/22,-9.47302232,-19.63611254,38.73200638,-42.05321606,16.15627173,16.27407281
